AudioMothCode,AudioMothID,SourceFile,Directory,FileName,FileSize,Encoding,NumChannels,SampleRate,AvgBytesPerSec,BitsPerSample,StartDateTime,Duration,Error,Comment,Artist,FileCreateDate,FileType,FileTypeExtension,MIMEType
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190624_110000.WAV,GRABADOR-SDZG-AM-1,20190624_110000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,24.06.2019 11:00,60.00046875,,Recorded at 11:00:00 24/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:48:31-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190701_121000.WAV,GRABADOR-SDZG-AM-1,20190701_121000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,01.07.2019 12:10,60.00046875,,Recorded at 12:10:00 01/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.9V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:20:26-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190626_134000.WAV,GRABADOR-SDZG-AM-1,20190626_134000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,26.06.2019 13:40,60.00046875,,Recorded at 13:40:00 26/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.1V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:58:06-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190630_142000.WAV,GRABADOR-SDZG-AM-1,20190630_142000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,30.06.2019 14:20,60.00046875,,Recorded at 14:20:00 30/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.9V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:16:18-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190630_154000.WAV,GRABADOR-SDZG-AM-1,20190630_154000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,30.06.2019 15:40,60.00046875,,Recorded at 15:40:00 30/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.9V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:16:33-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190705_160000.WAV,GRABADOR-SDZG-AM-1,20190705_160000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,05.07.2019 16:00,60.00046875,,Recorded at 16:00:00 05/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:37:44-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190704_172000.WAV,GRABADOR-SDZG-AM-1,20190704_172000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,04.07.2019 17:20,60.00046875,,Recorded at 17:20:00 04/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.6V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:35:04-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190619_181000.WAV,GRABADOR-SDZG-AM-1,20190619_181000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,19.06.2019 18:10,60.00046875,,Recorded at 18:10:00 19/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.4V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:27:16-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190701_193000.WAV,GRABADOR-SDZG-AM-1,20190701_193000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,01.07.2019 19:30,60.00046875,,Recorded at 19:30:00 01/07/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 3.9V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 04:21:49-08:00,WAV,WAV,audio/x-wav
AM-1,243B1F055B2BEAB8,GRABADOR-SDZG-AM-1/20190620_205000.WAV,GRABADOR-SDZG-AM-1,20190620_205000.WAV,46080360,1.0,1.0,384000.0,768000.0,16.0,20.06.2019 20:50,60.00046875,,Recorded at 20:50:00 20/06/2019 (UTC) by AudioMoth 243B1F055B2BEAB8 at gain setting 2 while battery state was 4.3V.,AudioMoth 243B1F055B2BEAB8,2019:12:20 03:32:18-08:00,WAV,WAV,audio/x-wav
